USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate
1713-13996,GPQ-,F,Y,CRSM111,4/18/2011,10/19/2011
1713-13997,GOQ-,F,Y,CRSM111,4/18/2011,10/14/2015
1713-13993,YGQ-,F,Y,MIDG111,4/18/2011,6/16/2011
1713-49001,nRQ-,F,Y,LARR111,4/17/2011,4/18/2011
1713-49226,GOQ-H,F,Y,CRSN113,5/7/2011,11/16/2011
1713-49005,PPQ-,F,Y,PMPE111,4/19/2011,10/19/2011
1713-49007,GWQ-,F,Y,NSWL111,4/18/2011,11/14/2012
1713-49010,GYQ-,F,Y,NSWL111,4/18/2011,9/14/2011
1713-49022,RPQ-,F,Y,CATE111,4/23/2011,2/15/2012
1713-49024,RLQ-,F,Y,CATE111,4/23/2011,3/14/2012
1713-49025,HWQ-,F,Y,MERL111,4/19/2011,1/18/2012
1713-49224,GBQ-H,F,Y,CRSN113,5/7/2011,7/3/2015
1713-49230,nLQ-,F,Y,CIRC112,5/9/2011,9/16/2011
1713-49237,BPQ-,F,Y,SHIC112,5/9/2011,6/12/2013
1713-49236,nYQ-,F,Y,SHIC112,5/9/2011,5/11/2011
1713-13974,RYQ-,F,Y,ANGL111,4/17/2011,9/14/2011
1713-13975,nBQ-,F,Y,NWTR111,4/15/2011,4/16/2011
