JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
BWQ-,F,Y,WISE111,4/18/2011 0:00,12-Apr-16,1713-49035,1821
OGQ-,F,Y,WISE111,4/18/2011 0:00,12-Apr-16,1713-49037,1821
YHQ-,M,Y,WLIN112,4/20/2011 0:00,16-Sep-15,1713-49039,1610
YAQ-,M,Y,WLIN112,4/20/2011 0:00,12-Apr-16,1713-49040,1819
nLQ-,F,Y,NXRD112,4/20/2011 0:00,21-Apr-11,1713-49045,1
nHQ-,F,Y,NXRD112,4/20/2011 0:00,21-Apr-11,1713-49046,1
nAQ-,F,Y,NXRD112,4/20/2011 0:00,22-Apr-11,1713-49047,2
LWQ-,M,Y,BUBO111,4/21/2011 0:00,12-Feb-14,1713-49048,1028
LGQ-,M,Y,BUBO111,4/21/2011 0:00,17-Aug-11,1713-49050,118
LYQ-,F,Y,BUBO111,4/21/2011 0:00,17-Aug-11,1713-49051,118
nHQ-,M,Y,SFLA111,4/22/2011 0:00,07-May-11,1713-49053,15
OAQ-,M,Y,SFLA111,4/22/2011 0:00,12-Apr-16,1713-49054,1817
ABQ-,M,Y,FRED112,4/23/2011 0:00,17-Aug-11,1713-49055,116
nPQ-,M,Y,FRED112,4/23/2011 0:00,11-May-11,1713-49056,18
AOQ-,M,Y,FRED112,4/23/2011 0:00,12-Apr-16,1713-49057,1816
nLQ-,F,Y,FRED112,4/23/2011 0:00,02-May-11,1713-49058,9
PWQ-,F,Y,ROSE111,4/23/2011 0:00,16-Nov-11,1713-49059,207
PRQ-,M,Y,ROSE111,4/23/2011 0:00,19-Oct-11,1713-49060,179
nGQ-,F,Y,ROSE111,4/23/2011 0:00,23-May-11,1713-49061,30
LBQ-,M,Y,SFBS111,4/23/2011 0:00,18-Jan-12,1713-49063,270
nPQ-,F,Y,SFBS111,4/23/2011 0:00,22-Jun-11,1713-49064,60
LOQ-,F,Y,SFBS111,4/23/2011 0:00,13-Mar-13,1713-49065,690
nAQ-,F,Y,COPS111,4/24/2011 0:00,24-Jun-11,1713-49067,61
AWQ-,F,Y,FENC112,4/27/2011 0:00,14-Sep-11,1713-49068,140
ARQ-,F,Y,FENC112,4/27/2011 0:00,01-Apr-13,1713-49069,705
AGQ-,M,Y,FENC112,4/27/2011 0:00,12-Apr-16,1713-49070,1812
AYQ-,F,Y,FENC112,4/27/2011 0:00,14-Dec-11,1713-49071,231
BBQ-,M,Y,CATB112,4/27/2011 0:00,15-Jul-15,1713-49072,1540
nPQ-,M,Y,CATB112,4/27/2011 0:00,11-May-11,1713-49073,14
BOQ-,F,Y,CATB112,4/27/2011 0:00,12-Apr-16,1713-49074,1812
GLQ-,F,Y,JANW111,4/24/2011 0:00,12-Apr-16,1713-49075,1815
nAQ-,M,Y,JANW111,4/24/2011 0:00,25-Apr-11,1713-49077,1
PHQ-,M,Y,CLAS113,4/26/2011 0:00,18-Jul-12,1713-49078,449
PAQ-,M,Y,CLAS113,4/26/2011 0:00,12-Apr-16,1713-49079,1813
YWQ-H,F,Y,PINE111,4/25/2011 0:00,01-Apr-13,1713-49080,707
YRQ-H,F,Y,PINE111,4/25/2011 0:00,02-Apr-13,1713-49081,708
HGQ-,F,Y,SAND111,4/27/2011 0:00,14-Mar-12,1713-49082,322
nYQ-,F,Y,SAND111,4/27/2011 0:00,05-May-11,1713-49083,8
HBQ-,M,Y,SAND111,4/27/2011 0:00,12-Apr-16,1713-49084,1812
HPQ-,F,Y,SAND111,4/27/2011 0:00,13-May-13,1713-49085,747
nOQ-,M,Y,SAND111,4/27/2011 0:00,12-May-11,1713-49086,15
WWQ-H,F,Y,CURY112,4/29/2011 0:00,19-Oct-11,1713-49087,173
WRQ-H,F,Y,CURY112,4/29/2011 0:00,14-Mar-12,1713-49088,320
WGQ-H,F,Y,CURY112,4/29/2011 0:00,14-Dec-11,1713-49089,229
WYQ-H,F,Y,CURY112,4/29/2011 0:00,04-Jul-11,1713-49090,66
YLQ-,M,Y,ANGB111,4/30/2011 0:00,14-Sep-11,1713-49091,137
nHQ-,F,Y,ANGB111,4/30/2011 0:00,11-May-11,1713-49092,11
nAQ-,F,Y,ANGB111,4/30/2011 0:00,11-May-11,1713-49093,11
nBQ-,M,Y,VALL112,4/27/2011 0:00,29-Apr-11,1713-49097,2
HOQ-,M,Y,CHET113,4/30/2011 0:00,16-Jan-13,1713-49099,627
RWQ-H,M,Y,SCOB111,5/2/2011 0:00,22-Aug-12,1713-49100,478
RRQ-H,M,Y,SCOB111,5/2/2011 0:00,18-Jul-12,1713-49201,443
RGQ-H,M,Y,SCOB111,5/2/2011 0:00,12-Apr-16,1713-49202,1807
RYQ-H,M,Y,SCOB111,5/2/2011 0:00,17-Aug-11,1713-49203,107
OBQ-,M,Y,EBAY112,4/30/2011 0:00,12-Apr-16,1713-49207,1809
OPQ-,M,Y,EBAY112,4/30/2011 0:00,12-Apr-16,1713-49208,1809
OOQ-,F,Y,EBAY112,4/30/2011 0:00,15-May-12,1713-49209,381
PGQ-,F,Y,GRVR111,5/2/2011 0:00,03-Jul-11,1713-49212,62
PYQ-,F,Y,GRVR111,5/2/2011 0:00,03-Jul-11,1713-49213,62
HLQ-,M,Y,NURS113,5/3/2011 0:00,16-Sep-15,1713-49214,1597
HHQ-,M,Y,NURS113,5/3/2011 0:00,14-Mar-12,1713-49215,316
HAQ-,M,Y,NURS113,5/3/2011 0:00,14-Sep-11,1713-49216,134
GWQ-H,M,Y,HARY113,5/3/2011 0:00,12-Apr-16,1713-49220,1806
GRQ-H,F,Y,DICE112,5/4/2011 0:00,19-Oct-11,1713-49221,168
GGQ-H,M,Y,DICE112,5/4/2011 0:00,12-Mar-14,1713-49222,1043
GYQ-H,M,Y,CRSN113,5/7/2011 0:00,13-Aug-14,1713-49223,1194
GBQ-H,F,Y,CRSN113,5/7/2011 0:00,03-Jul-15,1713-49224,1518
GBQ-H,F,Y,CRSN113,5/7/2011 0:00,10-Jul-14,1713-49224,1160
GPQ-H,F,Y,CRSN113,5/7/2011 0:00,12-Apr-16,1713-49225,1802
GOQ-H,F,Y,CRSN113,5/7/2011 0:00,16-Nov-11,1713-49226,193
BLQ-,F,Y,PLAZ112,5/8/2011 0:00,12-Apr-16,1713-49227,1801
nHQ-,M,Y,PLAZ112,5/8/2011 0:00,14-Jun-11,1713-49228,37
nLQ-,F,Y,CIRC112,5/9/2011 0:00,16-Sep-11,1713-49230,130
LHQ-,F,Y,CIRC112,5/9/2011 0:00,13-May-15,1713-49231,1465
nAQ-,M,Y,CIRC112,5/9/2011 0:00,18-Jan-12,1713-49232,254
nWQ-,F,Y,SWSE114,5/9/2011 0:00,07-Jun-11,1713-49233,29
LRQ-,M,Y,SWSE114,5/9/2011 0:00,16-Apr-13,1713-49234,708
nYQ-,F,Y,SHIC112,5/9/2011 0:00,11-May-11,1713-49236,2
BPQ-,F,Y,SHIC112,5/9/2011 0:00,12-Jun-13,1713-49237,765
WPQ-H,M,Y,BLAR111,5/9/2011 0:00,12-Apr-16,1713-49238,1800
WOQ-H,F,Y,BLAR111,5/9/2011 0:00,14-Sep-11,1713-49239,128
OLQ-,F,Y,BOBB112,5/10/2011 0:00,17-Aug-11,1713-49240,99
OHQ-,F,Y,BOBB112,5/10/2011 0:00,14-Dec-11,1713-49241,218
nAQ-,F,Y,BOBB112,5/10/2011 0:00,18-May-11,1713-49242,8
nGQ-,M,Y,TWEN112,5/12/2011 0:00,22-May-11,1713-49245,10
BYQ-,F,Y,TWEN112,5/12/2011 0:00,19-Oct-11,1713-49246,160
nBQ-,F,Y,RATL113,5/11/2011 0:00,03-Jun-11,1713-49248,23
nPQ-,M,Y,RATL113,5/11/2011 0:00,03-Jun-11,1713-49249,23
nOQ-,F,Y,RATL113,5/11/2011 0:00,13-May-11,1713-49250,2
nRQ-,M,Y,LARY113,5/13/2011 0:00,22-Jul-11,1713-49252,70
nWQ-,F,Y,LARY113,5/13/2011 0:00,18-Jul-11,1713-49254,66
YYQ-H,M,Y,LOPZ113,5/16/2011 0:00,12-Apr-16,1713-49256,1793
WBQ-H,F,Y,LOPZ113,5/16/2011 0:00,21-Jul-14,1713-49257,1162
YPQ-H,M,Y,LOPZ113,5/16/2011 0:00,12-Jun-13,1713-49258,758
YOQ-H,M,Y,LOPZ113,5/16/2011 0:00,14-Sep-11,1713-49259,121
PLQ-,F,Y,SING112,5/19/2011 0:00,13-Feb-13,1713-49261,636
BRQ-H,F,Y,HEWT112,5/22/2011 0:00,17-Jul-13,1713-49265,787
BGQ-,M,Y,HEWT112,5/22/2011 0:00,19-Oct-11,1713-49266,150
nYQ-,M,Y,HEWT112,5/22/2011 0:00,27-Jun-11,1713-49267,36
nBQ-,F,Y,HEWT112,5/22/2011 0:00,11-Jul-11,1713-49268,50
nPQ-,F,Y,JERE112,5/27/2011 0:00,14-Sep-11,1713-49269,110
nOQ-,M,Y,JERE112,5/27/2011 0:00,04-Jun-11,1713-49270,8
AAQ-,M,Y,PINS112,5/28/2011 0:00,11-Apr-12,1713-49271,319
RLQ-H,F,Y,PITA113,5/30/2011 0:00,13-Aug-14,1713-49272,1171
RHQ-H,M,Y,PITA113,5/30/2011 0:00,12-Apr-16,1713-49273,1779
RAQ-H,M,Y,PITA113,5/30/2011 0:00,12-Dec-12,1713-49274,562
nPQ-,F,Y,NPOL112,6/3/2011 0:00,16-Nov-11,1713-49280,166
nOQ-,M,Y,NPOL112,6/3/2011 0:00,15-Feb-12,1713-49281,257
